Chap_Name,Scene_Name,Animation_Clip,Dialogue
Intro,Intro_Sc_1,INtro_New_Sc_1_HandMove,"Ahh, good Ale and good company, I could run a tavern like this. - One more pint, and then I’ll be getting’ home before me mum tans me backside with her kettle spoon"
Intro,Intro_Sc_2,Intro_New_Sc_2_UncleMove,"hahaha! that half wit, Dingis Widebottom.. he will never do anything with his life.. Hey, Dingis. how ‘bout a game of dice young friend??"
Intro,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Hello Dingis. I'm the owner of the Tavern you frequent so much. I've been watching you.
Intro,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"Pardons tall friend, how do you know my name?"
Intro,Intro_Sc_3,Intro_New_Sc_3_WizardMove,"It doesn't take a wizards spell to deduce that. Nevermind that, what can I do for you?"
Intro,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"I need a job sir. I could help you here at the tavern…if me mum learns I lost all me pay to them ruddy tree humpers, she’ll goat whip me! Or worse, she’ll send me to bed without supper! Help!!"
Intro,Intro_Sc_4,Intro_New_Sc_4_WizardMove,"Tell you what, I’ll do even better.  I have urgent business to attend to. Take the key to the tavern. I need someone to run it during the day hours. "
Intro,Intro_Sc_4,Intro_New_Sc_4_DingiMove,Wait!... I know nothin’ about serving dwarves & elves!! And what about my supper…??
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_DingiMove,"All this work has made me thirsty.  Perhaps a quick pint of my own…(While drinking your tasty refreshing beverage, you can’t help but overhear some of the townsfolk chatter.)"
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_UncleMove,I heard Ol’ Farmer McGee is missing 12 chickens this time.
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_BoyMove,That old man is full of tales o’ lore and dark magic.  Nothin’ but stories to scare the little ones if you ask me.
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_UncleMove,"He says it happens in the middle of the night, with no trace of the thieves, but a feelin’ o’ dark magic in the air come mornin."
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_BoyMove,"Oh, yes.. yes… next he’ll be fillin your head with stories of the dark kind beyond the broken bridge I suppose?"
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_UncleMove,And just where do you suppose his chickens is goin’ then?
End_Day_1,Intro_Sc_2,Intro_New_Sc_2_BoyMove,"How would I know?... probably being eaten by that very large wife of his!  Ha Ha!...(Dingis finishes his pint, and decide it’s time to be getting home.)"
End_Day_1,End_Day_1_Sc_2,End_Day_1_Sc_2_DingiSing,"*singing* Curvy maids a dancin’, I’ll take one home tonight… and wed come winters mornin’, and bed come summers night…"
End_Day_1,End_Day_1_Sc_3,End_Day_1_Sc_3_DingiWakeUp,"Uhh, a few pints too many... Dark magic, shadows, missing chickens. Grampa Mcgee!"
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_DingiWaveHand,Morning Gaffer!
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Were you and your friends sneaking around here last night?
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"What? No… no, of course not…"
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"Hmmm…. Well, my chickens keep disappearing in the night.  Lost 12 the other night.  Dark magic if you ask me. "
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Dark magic Gaffer?  Here in the Crest?
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"Ah, you’re just like the others.  Considering what land you live on, I’d think you’d know better boy."
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,The land I live on?  What do you mean?
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Of course you don’t know…probably would never have moved on that land…the farmer trails off and suddenly looks distant.
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Gaffer?
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"The farmer looks at you again, this time with curiosity, and a flash of anger… "
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"I’ve lived on this land for eleventy one years, and in all that time no one has lived closer to that there chasm as I have.  Perhaps that’s why I still remember.  "
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Remember what?
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,"We live on Darkling land, boy."
End_Day_1,End_Day_1_Sc_4,End_Day_1_Sc_4_Idle,Darkling ?
End_Day_2,End_Day_2_Sc_1,End_Day_2_Sc_1_ClothFly,"Nasty no good swamp, amazing anything grows here at all. Those fat Widebottoms sitting on our lush green fatland ."
End_Day_2,End_Day_2_Sc_2,End_Day_2_Sc_2_UncleHandMove,Where  were you last night?!
End_Day_2,End_Day_2_Sc_2,End_Day_2_Sc_2_DarklingHeadMove,"Busy digging up grubs uncle Brentas, saw some big Catfish biting down at the pond."
End_Day_2,End_Day_2_Sc_2,End_Day_2_Sc_2_UncleHeadMove,"Hmmm… well, come with us tonight.  We’re going to get some more chickens and pipe weed from the old Halfling farmer across the chasm. "
End_Day_2,End_Day_2_Sc_2,End_Day_2_Sc_2_DarklingHandMove,"When will you learn, we will never get our lands back from those lying Widebottom scoundrels."
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHeadMove,Hello Master Dartling.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_DarkHandMove,Hi mr boss sir.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHeadMove,You were late again to work last night. I need you at my Tavern at 10:30 on the dot. Customers will not tolerate going a minute without their ale. 
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_DarkHeadMove,"Apologies, my meddlesome uncle held me up…"
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHandMove,I have brought you something….
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_Idle,The wizard holds out a small pulsing glowing orb.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_DarkHeadMove,What is that? 
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_Idle,You can’t seem to take your eyes off it.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHeadMove,I am aware of your troubles young Dartling. In time this object will help you take back your lost lands from the Widebottoms across the bridge.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_Idle,Dartling continues staring at the glowing stone.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHandMove,Take it.  Hide it in the Tavern for now and I will explain later.
End_Day_2,End_Day_2_Sc_3,End_Day_2_Sc_3_WizardHeadMove,Hide it well…
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_BrentaHead,"Wake up boy, you skipped out on our raid again last night"
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_DarklingHead,Uncle Brentas? What happened? 
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_BrentaHand,That fat farmers even fatter wife chased us off with her wooden spoon.
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_DarklingHead,She saw you?
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_DarklingHead,You know I have to work at the Wizards tavern at night.
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_BrentaHand,"You need to be getting your head and priorities straight boy, those stupid fat Widebottoms have been raping our lands for 100 years. It’s time we pay them back!"
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_DarklingHead,Uncle.. I was given something.
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_BrentaHead,Well what is it then?
End_Day_3,End_Day_3_Sc_1,End_Day_3_Sc_1_DarklingHead,Can't explain now but.. I might have something that can help us get our lands 
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,Blasted Darklings!?
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_DingiHead,Darklings?
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,"They come sneakin cross that bridge, mi ole’ woman got a good look at them. They be coming over stealing my pipe weed and chickens for sure.  "
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,"Don’t meddle with dark magic boy, or you could also end up like those darkling neighbors of yours."
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_DingiHead,But you’re my only neighbor Master McGee…
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,"in the swamps.  Night creatures they are, never come out in the daytime, nobody sees them, but they are there.  Dark evil things they are, never met one myself, they were banished before my time, but my ol’ Papa told me all about them.  Stay away from the dark magic, your land is cursed with it."
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,"Fool of a halfling! Across the chasm, across that bridge on your land.  There was another fool halfling that meddled in dark magic.  owned the same land you live on.  Maybe they still do.  Bristol Dartling was his name.  Went to trial for using dark magic.  Got banished just over yonder across that chasm"
End_Day_3,End_Day_3_Sc_2,End_Day_3_Sc_2_FarmerHead,"They are nothing but murderous, filthy, lying thieves"
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Hello young Dingis. Your good work in my tavern has been noted by my customers
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_DingiMove,Thank you Wizard sir.
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_WizardMove,There have been whispers your family is having other concerning matters across the Bridge?
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"yes well, it’s thieving Darklings, stealing me Gaffer Mcgees chickens and what not. Nasty people those Darklings."
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Nasty? You know very little indeed.
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_DingiMove,"Well I never really met one but they have done my family wrong, Gaffer tells me."
End_Day_3,Intro_Sc_3,Intro_New_Sc_3_WizardMove,Your Gaffer eh.. 
